nusoc	cdepso	cvilso	sexsoc	bgesso	aadhso	anaiso	mnaiso	jnaiso	cspsoc	consoc	qualso	sitpav	asaiso	msaiso	jsaiso	sitmat	nbenf	accmai	accsms
600007	60	170	1	138	2010	1945	12	28	61	M01	N	N	2019	3	28	O	0	1	0
600010	92	190	1	90	2010	1964	2	11	14	M01	N	N	2020	1	16	N	0	1	1
600011	51	450	1	151	2010	1990	7	16	40	M01A03A03A03A02	N	N	2020	2	4	N	0	1	1
600012	56	500	1	46	2010	1981	8	28	40	M01M03M01M03M01C01	N	N	2019	3	28	O	0	1	1
600014	64	320	1	104	2010	1992	7	5	62	M03M02A01A01	N	N	2020	7	23	N	0	1	1
600017	86	150	1	113	2010	1985	9	29	50	M01A01M01	N	S	2019	3	28	O	0	1	1
600018	69	210	1	53	2010	1981	4	13	20	M01M03C03M01	N	N	2019	3	28	O	0	1	1
600020	41	130	1	84	2010	1989	12	4	40	M01	N	N	2019	3	28	N	0	2	0
600021	50	110	1	111	2010	1989	1	26	20	M03M03M03M03A03M03M03M01M01	N	N	2020	2	10	O	0	1	1
600027	6	270	1	17	2010	1960	3	13	40	M01A03	N	N	2019	3	28	O	0	1	1
600034	80	160	1	138	2010	1975	12	20	40	M01M03	N	N	2020	2	20	N	0	1	1
600036	62	950	1	166	2010	1990	7	13	80	M03M03M03M02M02M03M01	N	N	2019	3	28	NC	0	1	1
600052	75	3	1	92	2010	1978	1	1	40	M01	N	N	2019	3	28	N	0	0	1
600057	35	133	1	46	2010	1992	3	23	62	M03M03M01	N	R	2019	3	28	N	0	1	1
600062	46	100	2	118	2010	1970	12	19	20	A01M01	N	N	2019	3	28	N	0	1	1
600070	95	340	1	90	2010	1972	8	11	80	M03M03M03M01C01M03C03	F	N	2019	3	28	O	0	1	1
600074	24	0	1	105	2010	1951	7	23	61	M01	N	S	2019	3	28	N	0	1	1
600078	83	740	2	30	2010	1961	9	17	14	M01A01	N	N	2020	2	16	O	0	1	1
600079	6	200	2	41	2010	1986	11	18	80	M01A03	N	N	2019	3	28	N	0	1	1
600084	34	660	1	11	2010	1975	2	15	30	M03M03M01	N	N	2019	3	28	O	0	1	1
600091	34	790	1	11	2010	1978	9	5	40	M03M03M01	N	N	2019	3	28	O	0	1	2
600095	69	3	2	51	2010	1957	9	24	40	A03M00M01A01A03M03M03M01	N	N	2019	3	28	N	0	1	1
600096	23	140	1	105	2010	1960	7	31	12	M01	N	N	2019	3	28	O	0	1	0
600100	13	2	1	33	2010	1976	6	12	40	C01	N	S	2019	3	28	O	0	0	1
600110	78	310	1	90	2010	1955	8	15	40	M03M01	N	N	2019	3	28	O	0	1	1
600118	76	240	1	27	2010	1987	10	13	40	M03A01A01M03A01M01A03	N	N	2019	4	4	O	0	1	1
600129	63	800	1	62	2010	1975	2	9	40	M03M01	N	N	2019	3	28	N	0	1	1
600130	78	0	2	90	2010	1986	6	12	62	M01	N	N	2019	3	28	N	0	1	1
600134	45	480	1	122	2010	1982	1	22	40	M03A03M03M03A01M03A03A03A01M01M03A01	N	N	2019	6	25	N	0	1	1
600141	11	150	1	11	2010	1943	6	4	61	M01	N	N	2019	3	28	O	0	0	1
600142	33	380	1	9	2010	1979	1	16	40	M01A01	N	N	2019	12	9	N	0	1	1
600149	64	190	2	104	2010	1956	4	29	40	C03M01	N	N	2019	4	26	NC	0	1	1
600161	76	590	1	27	2010	1964	5	27	50	M01	N	N	2019	3	28	O	0	1	1
600162	22	820	1	139	2010	1961	7	21	40	M01M01	N	N	2019	4	6	O	0	1	1
600179	73	630	1	64	2010	1987	7	5	40	M03M03M01	N	R	2020	9	10	O	0	1	1
600185	71	460	2	51	2010	1982	9	7	40	M01	N	N	2019	3	28	O	0	0	0
600201	6	700	1	41	2010	1990	1	31	62	M03M01	N	N	2020	5	11	N	0	1	1
600202	13	100	1	107	2010	1982	11	27	12	M03M01M03M03M03M01	N	N	2020	1	7	O	0	1	1
600205	78	220	1	90	2010	1984	1	10	20	M01M03	N	N	2019	3	28	N	0	1	1
600212	63	440	1	62	2010	1993	4	2	50	M01A03A03A00A03A01A01A01	N	N	2019	10	24	N	0	1	1
600217	92	0	1	90	2010	1967	4	23	40	M01	N	N	2019	3	28	O	0	1	1
600220	13	12	1	33	2010	1945	5	30	61	M01	N	N	2019	3	28	O	0	2	1
600224	27	780	1	27	2010	1990	7	14	80	M01	N	N	2019	3	28	NC	0	0	1
600236	33	380	1	9	2010	1990	10	14	40	M01	N	N	2019	3	28	N	0	1	1
600237	77	320	1	92	2010	1963	3	10	40	M01M03	N	N	2019	3	28	O	0	1	0
600240	13	105	1	107	2010	1969	6	22	30	M03M01	N	N	2019	4	6	O	0	1	1
600243	87	240	1	105	2010	1989	5	26	50	M01M03M03M01M01C03M03M01	N	N	2020	1	31	O	0	1	1
600244	92	170	1	90	2010	1956	5	6	30	M01M01	N	N	2019	9	14	O	0	0	1
600251	41	100	1	84	2010	1964	10	20	12	M01	N	N	2019	3	28	O	0	0	1
600252	38	200	1	39	2010	1991	3	19	40	M03A03M01	N	R	2020	5	13	N	0	1	1
600255	80	300	1	138	2010	1975	6	30	40	M03M01	N	N	2019	3	28	O	0	1	1
600258	34	880	1	11	2010	1978	2	17	40	M03M01	N	N	2020	5	26	O	0	1	1
600261	31	180	1	68	2010	1958	9	23	40	M01M01A01	N	N	2019	3	28	O	0	1	1
600264	69	5	1	51	2010	1979	8	1	20	M01	N	N	2019	3	28	O	0	1	1
600269	69	7	1	51	2010	1955	8	23	20	M01	N	S	2019	3	28	O	0	1	1
600276	73	110	1	64	2010	1990	3	25	50	M03M01	N	N	2019	3	28	N	0	1	1
600278	91	140	1	92	2010	1980	9	18	40	M01A01	N	N	2019	3	28	NC	0	1	1
600280	77	140	1	92	2010	1987	7	13	50	M03M03M01M01	N	N	2019	3	28	O	0	1	1
600285	76	240	1	27	2010	1975	9	13	50	M01	N	N	2019	10	2	N	0	0	1
600291	38	160	1	39	2010	1955	2	11	40	M03M01	N	N	2020	2	19	O	0	1	1
600292	93	320	1	92	2010	1975	11	25	40	M03M01M03	N	N	2020	9	2	NC	0	1	1
600299	74	410	1	64	2010	1966	9	27	20	M01	N	N	2020	5	13	O	0	2	1
